Variable,Type,Test,p-value
age,Continuous,t-test,0.7732876096036306
bmi,Continuous,Mann-Whitney,0.8451280372302674
ethnicity,Categorical,Chi-square,0.35541687690665763
hx_htn,Categorical,Chi-square,0.05612670974056949
hx_hld,Categorical,Chi-square,1.0
hx_dm2,Categorical,Chi-square,0.7004139653306566
hx_smoking,Categorical,Chi-square,0.0719597216643929
hx_cad,Categorical,Chi-square,0.5459565955704904
hx_chf,Categorical,Chi-square,1.0
hx_arrhythmia,Categorical,Chi-square,1.0
hx_pad,Categorical,Chi-square,0.3220506170075433
hx_cva,Categorical,Chi-square,0.6705028737329493
has_pcp,Categorical,Chi-square,0.23321886516989057
cards_prior,Categorical,Chi-square,0.6814162633034472
diet_counseling,Categorical,Chi-square,1.0
exercise_counseling,Categorical,Chi-square,0.8838728222608412
echo_ordered,Categorical,Chi-square,0.5178025955222648
ecg_done,Categorical,Chi-square,0.356315975490306
