Variable,Category,Not_At_Risk_N,Not_At_Risk_Pct,At_Risk_N,At_Risk_Pct,Risk_in_Category,Relative_Risk,p_value,Significant
ethnicity,Asian,15,12.5,12,15.18987341772152,44.44444444444444,1.119549929676512,0.35541687690665763,No
ethnicity,Black,8,6.666666666666667,9,11.39240506329114,52.94117647058824,1.3335815338793746,0.35541687690665763,No
ethnicity,Caucasian,71,59.166666666666664,39,49.36708860759494,35.45454545454545,0.8930955120828539,0.35541687690665763,No
ethnicity,Hispanic,15,12.5,7,8.860759493670885,31.818181818181817,0.8014959723820483,0.35541687690665763,No
ethnicity,Other,11,9.166666666666666,12,15.18987341772152,52.17391304347826,1.314254265272427,0.35541687690665763,No
hx_htn,0.0,57,46.72131147540984,25,32.05128205128205,30.48780487804878,0.7817385866166353,0.05612670974056949,Trend
hx_htn,1.0,65,53.278688524590166,53,67.94871794871796,44.91525423728814,1.1516731855714908,0.05612670974056949,Trend
hx_hld,0.0,59,47.58064516129033,37,46.835443037974684,38.54166666666667,0.9903744725738396,1.0,No
hx_hld,1.0,65,52.41935483870967,42,53.16455696202531,39.25233644859813,1.008635987223471,1.0,No
hx_dm2,0.0,88,71.54471544715447,53,67.94871794871796,37.5886524822695,0.9686306601200217,0.7004139653306566,No
hx_dm2,1.0,35,28.455284552845526,25,32.05128205128205,41.66666666666667,1.0737179487179487,0.7004139653306566,No
hx_smoking,0.0,87,70.16129032258065,45,56.9620253164557,34.090909090909086,0.8760069044879171,0.0719597216643929,Trend
hx_smoking,1.0,30,24.193548387096776,31,39.24050632911392,50.81967213114754,1.305872587673791,0.0719597216643929,Trend
hx_smoking,2.0,7,5.64516129032258,3,3.79746835443038,30.0,0.770886075949367,0.0719597216643929,Trend
hx_cad,0.0,104,83.87096774193549,62,79.48717948717949,37.34939759036144,0.9672536299042322,0.5459565955704904,No
hx_cad,1.0,20,16.129032258064516,16,20.51282051282051,44.44444444444444,1.1509971509971508,0.5459565955704904,No
hx_chf,0.0,117,94.35483870967742,74,93.67088607594937,38.7434554973822,0.9955596792365299,1.0,No
hx_chf,1.0,7,5.64516129032258,5,6.329113924050633,41.66666666666667,1.0706751054852321,1.0,No
hx_arrhythmia,0.0,109,87.90322580645162,69,87.34177215189874,38.764044943820224,0.9960887498222158,1.0,No
hx_arrhythmia,1.0,15,12.096774193548388,10,12.658227848101266,40.0,1.0278481012658227,1.0,No
hx_pad,0.0,122,98.38709677419355,75,94.9367088607595,38.07106598984771,0.9782818222707703,0.3220506170075433,No
hx_pad,1.0,2,1.6129032258064515,4,5.063291139240507,66.66666666666666,1.713080168776371,0.3220506170075433,No
hx_cva,0.0,119,95.96774193548387,73,93.58974358974359,38.02083333333333,0.9846420940170939,0.6705028737329493,No
hx_cva,1.0,5,4.032258064516129,5,6.41025641025641,50.0,1.294871794871795,0.6705028737329493,No
has_pcp,0.0,12,9.75609756097561,13,16.455696202531644,52.0,1.329620253164557,0.23321886516989057,No
has_pcp,1.0,111,90.2439024390244,66,83.54430379746836,37.28813559322034,0.953443467067153,0.23321886516989057,No
cards_prior,0.0,103,83.06451612903226,63,79.74683544303798,37.95180722891566,0.9752173249961872,0.6814162633034472,No
cards_prior,1.0,21,16.93548387096774,16,20.253164556962027,43.24324324324324,1.1111871365035921,0.6814162633034472,No
diet_counseling,0.0,115,92.74193548387096,73,92.40506329113924,38.82978723404255,0.997778077026663,1.0,No
diet_counseling,1.0,9,7.258064516129033,6,7.59493670886076,40.0,1.0278481012658227,1.0,No
exercise_counseling,0.0,115,92.74193548387096,72,91.13924050632912,38.50267379679144,0.9893725038922357,0.8838728222608412,No
exercise_counseling,1.0,9,7.258064516129033,7,8.860759493670885,43.75,1.1242088607594936,0.8838728222608412,No
echo_ordered,0.0,106,85.48387096774194,64,81.0126582278481,37.64705882352941,0.967386448250186,0.5178025955222648,No
echo_ordered,1.0,18,14.516129032258066,15,18.9873417721519,45.45454545454545,1.1680092059838894,0.5178025955222648,No
ecg_done,0.0,57,81.42857142857143,28,71.7948717948718,32.94117647058823,0.9206636500754147,0.356315975490306,No
ecg_done,1.0,13,18.571428571428573,11,28.205128205128204,45.83333333333333,1.2809829059829059,0.356315975490306,No
