feature,partial_r2
dbp,0.07664598102893683
bmi,0.0755824243017621
days_adt_to_nht,0.06572842014468805
age,0.04407888660268977
cards_referral,0.04350261083954221
lipid_panel_checked,0.039088608723816476
days_auth_to_start,0.03637833143918867
sbp,0.035500255337992614
ascvd_10yr,0.03185358106226033
hx_htn,0.029259168647815637
a1c_checked,0.016115539480401897
ethnicity_enc,0.014837750359588675
asa_use,0.011393474086740185
adt_agent_enc,0.008975232364771601
glucose_over_200,0.00847888344084613
cards_prior,0.007414707068494564
hx_pad,0.007279834936850582
bb_prior,0.0063210034705494245
hx_mi_stent,0.006214399974671103
ecg_done,0.004315989945320453
non_onc_provider,0.0033422548332661117
hx_hld,0.0023371837394532413
specific_nht_used_enc,0.0012919135628991496
other_lipid_prior,0.0010624802754430895
hx_chf,0.0010482094722680246
cards_post,0.001007297187965439
hx_cva,0.000614146509525737
hx_carotid,0.0005490171608844019
family_hx_hd,0.0005381047767394342
echo_ordered,0.0005265022084475213
hx_high_tg,0.0005231583756286629
hx_cad,0.0004292046393170601
hx_arrhythmia,0.0003100439611493089
hx_smoking,0.0002874877314710256
has_pcp,0.00023451402408569688
prescribing_provider_enc,0.0002184206126816246
