feature,mean_abs_shap,mean_shap
dm_noninsulin,0.94055957,-0.13248515
days_adt_to_nht,0.68408465,-0.14633472
bmi,0.5582531,-0.09851715
bp_meds_prior,0.42778298,-0.054632694
lipid_panel_checked,0.42512575,0.003267361
age,0.3284098,-0.06419577
days_auth_to_start,0.32455257,-0.042647578
adt_agent_enc,0.32454088,-0.040771082
hx_smoking,0.31303102,-0.02388941
ethnicity_enc,0.2367877,-0.0056629432
sbp,0.22149687,-0.023565061
ace_arb_prior,0.21748677,0.011172014
hx_dm2,0.20605627,0.020134818
dbp,0.19405098,-0.018860044
prescribing_provider_enc,0.18118985,-0.016106302
hx_htn,0.17816062,-0.013286956
asa_use,0.17280097,-0.0013435697
ascvd_10yr,0.14127463,-0.016065568
statin_prior,0.13841496,-0.009179606
specific_nht_used_enc,0.12572514,-0.012831075
non_onc_provider,0.11326877,-0.01436813
glucose_over_200,0.09942019,-0.015297934
has_pcp,0.065813005,-0.0054623676
a1c_checked,0.05329672,-0.0080578225
other_lipid_prior,0.05000962,0.0010811574
hx_hld,0.040858198,-0.01017695
bb_prior,0.036976833,0.004443813
hx_carotid,0.035892166,-0.0068517947
cards_post,0.035710756,-0.0014083267
hx_arrhythmia,0.03497484,0.0024666167
cards_referral,0.03494129,0.0017966639
hx_mi_stent,0.034533676,0.0044299695
hx_high_tg,0.025135176,-0.0070005627
cards_prior,0.024071803,0.00021170588
echo_ordered,0.017921904,-0.0037653954
hx_cad,0.012743675,0.0014540411
family_hx_hd,0.0076322644,-0.0017223972
exercise_counseling,0.0061579496,5.0121485e-05
ecg_done,0.0053361533,-0.0015013743
on_insulin,0.0029445852,-2.7658249e-05
hx_pad,0.0028546182,-0.0006141663
diet_counseling,0.0017498153,-0.00042268916
hx_cva,0.0,0.0
hx_chf,0.0,0.0
